"Programme name","Country","Institution","Field","Level","Deadline","Application opening period","Funding / salary","Duration","Eligibility","Visa / nationality restrictions","Link","Contact person","Fit score 1–5","Notes","Status"
"AScI International Summer Research Programme","Finland","Aalto University","AI; machine learning; optimization; signal processing; scientific computing; physics; engineering","Bachelor; Master; PhD","2026-01-31","Early January; use the 2026 cycle only as evidence for a likely winter 2027 opening.","Salary from €2,000/month plus a travel bonus for international students.","12 weeks, normally June–August.","Bachelor's and master's students, with exceptional doctoral applicants considered; projects set their own academic prerequisites.","International applications are welcomed; selected students receive support materials but must complete any permit process.","https://www.aalto.fi/en/open-positions/aalto-science-institute-asci-international-summer-research-programme-2026","AScI programme team","5","Flagship curated-project programme. Closed 2026 deadline is historical evidence, not a 2027 deadline.","To check"
"HIP Summer Jobs","Finland","Helsinki Institute of Physics","particle physics; accelerator physics; computational physics; scientific computing; detector engineering","Bachelor; Master","2026-01-29","Usually January; monitor the Faculty of Science summer-jobs page.","Paid university summer employment; salary depends on role and prior credits.","Typically two to three summer months.","University students in physics, computing or engineering; project-specific requirements apply.","Some Faculty of Science summer jobs require an existing Finnish study or residence connection; verify each HIP project.","https://www.helsinki.fi/en/faculty-science/faculty/faculty-science-summer-jobs","Project-specific supervisors","4","Curated HIP project PDF; eligibility and work-location terms must be checked project by project.","To check"
"CERN openlab Summer Student Programme","Switzerland","CERN openlab","computer science; AI; machine learning; data science; distributed systems; engineering","Bachelor; Master","2026-01-26","Historically late autumn through January; await the official 2027 call.","Daily subsistence allowance around CHF 94, travel allowance and health-insurance support.","Nine weeks in summer.","Bachelor's or master's students in computing, mathematics, engineering or physics who have completed at least three years of full-time study.","Open to students of all nationalities; CERN supports visa documentation for selected students.","https://openlab.web.cern.ch/cern-openlab-summer-student-programme/","CERN openlab team","5","Strong computing-research programme with lectures and a final report.","To check"
"ETH Student Summer Research Fellowship","Switzerland","ETH Zürich Department of Computer Science","AI; machine learning; theory; systems; data management; robotics; computer vision","Bachelor; Master","","The next application window is expected to begin in November 2026.","CHF 4,000 fellowship plus travel and visa-expense allowance.","Eight weeks; the 2026 edition ran 1 July–28 August.","Students worldwide enrolled in a bachelor's or master's programme closely related to computer science, with an expected graduation after the fellowship.","Worldwide except students already enrolled at ETH Zürich; visa cost support is advertised.","https://inf.ethz.ch/studies/summer-research-fellowship.html","Katja Abrahams","5","Opening date is an official forward-looking notice; no exact 2027 deadline is inferred.","To check"
"Summer@EPFL","Switzerland","EPFL School of Computer and Communication Sciences","AI; machine learning; signal processing; computer vision; theory; systems; data science","Bachelor; Master","2025-11-30","Autumn; the deadline is usually the Sunday closest to 1 December.","CHF 1,800/month plus a travel contribution.","Two to three months between May and September.","Bachelor's and master's students in computer science, computer engineering, telecommunications or electrical engineering; doctoral students are ineligible.","International applicants are eligible; selected students receive administrative guidance.","https://summer-2026.epfl.ch/","Summer@EPFL team","5","Curated lab and project matching across core IC research themes.","To check"
"Max Planck Computer Science Internships","Germany","Max Planck Institutes for Informatics, Software Systems and Security & Privacy","AI; machine learning; algorithms; computer vision; systems; security; theory","Bachelor; Master; PhD","","Summer placements use a 1 November deadline; off-cycle applications should arrive about five months ahead.","Funded internship with living costs, housing support and travel coverage described by the programme.","Typically 12–14 weeks, with flexible off-cycle dates.","Excellent bachelor's, master's and doctoral students worldwide with strong computer-science research preparation.","Worldwide applicants are eligible; institutes assist selected interns with logistics.","https://www.cis.mpg.de/internships/","Internship programme team","5","Central application spanning three top computer-science institutes.","To check"
"Inria Research Internships","France","Inria","AI; machine learning; optimization; signal processing; scientific computing; robotics; mathematics","Bachelor; Master","","Teams publish subjects throughout the academic year; final-year master's subjects cluster in autumn and winter.","French research internships are normally compensated when longer than the statutory threshold; each offer controls.","Research internships are commonly four to six months.","Students in digital science programmes, especially final-year master's students; prerequisites are specified by each research team.","International eligibility and work authorization depend on the offer and host centre.","https://www.inria.fr/en/do-internship","Offer-specific research-team contact","5","Use the official Inria offer catalogue, not external job boards.","To check"
"CWI Current Master Projects","Netherlands","Centrum Wiskunde & Informatica","machine learning; optimization; mathematics; statistics; scientific computing; networks; algorithms","Master","","The curated project catalogue is maintained throughout the year.","Funding varies by project and university arrangement; confirm with the listed supervisor.","Project-specific master's thesis or internship duration.","Master's students in mathematics, computer science or a closely related field who meet the project's prerequisites.","No single programme-wide nationality rule is published; enrolment and Dutch internship documentation must be confirmed.","https://www.cwi.nl/en/jobs/","Project-specific CWI researcher","5","High-value living catalogue of supervised mathematical and computing research projects.","To check"
"ELLIS-listed DFKI Research Internships in 3D Computer Vision & AI","Germany","DFKI / ELLIS","AI; computer vision; 3D vision; machine learning","PhD","2026-05-31","No recurring window is promised; monitor the official ELLIS research-jobs feed.","Paid research internship; exact compensation is provided by DFKI to selected candidates.","Project-specific research visit.","Doctoral students researching 3D computer vision, multimodal AI or related topics.","International eligibility is not fully stated in the ELLIS listing.","https://ellis.eu/research/jobs","DFKI research contact","3","Represents ELLIS as an official high-quality research-call source; this specific call is PhD-only and closed.","To check"
"Cambridge Summer Research in Maths (SRIM)","United Kingdom","University of Cambridge Faculty of Mathematics","mathematics; statistics; machine learning; optimization; scientific computing","Bachelor; Master","2026-02-27","Projects are normally advertised in Lent term.","Successful projects receive programme funding or an associated bursary as stated per project.","Up to eight weeks during the summer.","Restricted to current University of Cambridge Mathematics Tripos students unless a project explicitly states otherwise.","Cambridge students only; international students must also comply with their existing UK student-visa work conditions.","https://www.maths.cam.ac.uk/opportunities/careers-for-mathematicians/summer-research-mathematics/summer-research-maths-srim","SRIM programme team","2","Excellent curated catalogue but institution-restricted; scoring forces ineligibility for a generic external profile.","To check"
